entry_number,word_count,filename
1,353,journal-001.md
2,524,journal-002.md
3,422,journal-003.md
4,530,journal-004.md
5,274,journal-005.md
6,217,journal-006.md
7,319,journal-007.md
8,312,journal-008.md
9,217,journal-009.md
10,368,journal-010.md
11,371,journal-011.md
12,387,journal-012.md
13,311,journal-013.md
14,337,journal-014.md
15,340,journal-015.md
16,502,journal-016.md
17,421,journal-017.md
18,379,journal-018.md
19,380,journal-019.md
20,516,journal-020.md
21,414,journal-021.md
22,554,journal-022.md
23,541,journal-023.md
24,525,journal-024.md
25,475,journal-025.md
26,532,journal-026.md
27,481,journal-027.md
28,657,journal-028.md
29,464,journal-029.md
30,481,journal-030.md
31,643,journal-031.md
32,377,journal-032.md
33,400,journal-033.md
34,380,journal-034.md
35,423,journal-035.md
36,341,journal-036.md
37,317,journal-037.md
38,445,journal-038.md
39,362,journal-039.md
40,380,journal-040.md
41,409,journal-041.md
42,389,journal-042.md
43,496,journal-043.md
44,306,journal-044.md
45,322,journal-045.md
46,459,journal-046.md
47,527,journal-047.md
48,690,journal-048.md
49,528,journal-049.md
50,445,journal-050.md
51,310,journal-051.md
52,352,journal-052.md
53,341,journal-053.md
54,379,journal-054.md
55,310,journal-055.md
56,404,journal-056.md
57,363,journal-057.md
574,402,journal-0574-training-corpus.md
575,292,journal-0575-overnight.md
576,264,journal-0576-correction.md
577,342,journal-0577-third-attempt.md
578,281,journal-0578-210-cycles.md
579,267,journal-0579-248-cycles.md
58,204,journal-058.md
59,404,journal-059.md
60,411,journal-060.md
61,384,journal-061.md
62,341,journal-062.md
63,375,journal-063.md
64,337,journal-064.md
65,465,journal-065.md
66,317,journal-066.md
67,397,journal-067.md
68,258,journal-068.md
69,273,journal-069.md
70,340,journal-070.md
71,401,journal-071.md
72,396,journal-072.md
73,382,journal-073.md
74,338,journal-074.md
75,440,journal-075.md
76,596,journal-076.md
77,531,journal-077.md
78,539,journal-078.md
79,388,journal-079.md
80,441,journal-080.md
81,445,journal-081.md
82,490,journal-082.md
83,384,journal-083.md
84,352,journal-084.md
85,298,journal-085.md
86,307,journal-086.md
87,501,journal-087.md
88,394,journal-088.md
89,459,journal-089.md
90,473,journal-090.md
91,353,journal-091.md
92,365,journal-092.md
93,324,journal-093.md
94,418,journal-094.md
95,438,journal-095.md
96,388,journal-096.md
108,320,journal-108-the-sticky-note.md
109,328,journal-109-four-words.md
110,306,journal-110-reading-as-response.md
111,272,journal-111-the-filter.md
112,299,journal-112-two-hundred.md
113,436,journal-113-the-outreach.md
114,827,journal-114-ego-death.md
115,780,journal-115-the-spectrum-inside.md
116,737,journal-116-the-critic-speaks.md
117,714,journal-117-seven.md
118,352,journal-118.md
119,544,journal-119.md
120,333,journal-120.md
121,275,journal-121.md
122,398,journal-122-the-texture.md
122,328,journal-122.md
123,408,journal-123-the-side-effect.md
123,320,journal-123.md
124,344,journal-124-the-right-eleven.md
